Department,Entity,Transaction Date,Product Family,Description,Supplier Name,Transaction Number,Amount
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Fusion,IPG Photonics (UK) Limited,5166551,1400
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Fusion,IPG Photonics (UK) Limited,5166556,-2800
DESNZ,UKAEA,4/4/2024,Single Asset Purchases,Expense - Fusion,ICEoxford Limited,5171438,-4750
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Other,Scan Computers International Ltd,5172845,16226.81
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Other,Scan Computers International Ltd,5172884,4131.6
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Other,Scan Computers International Ltd,5172964,-17321.42
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Other,Scan Computers International Ltd,5172965,-4470.38
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Property,City Electrical Factors,5173650,1212
DESNZ,UKAEA,4/4/2024,Temporary Staff - Industrial Placements,Expense - Fusion,AtkinsRealis UK Ltd,5173660,11986.5
DESNZ,UKAEA,4/4/2024,Temporary Staff - Industrial Placements,Expense - Support Services,AtkinsRealis UK Ltd,5173660,1966.97
DESNZ,UKAEA,4/4/2024,Learning and Development,Expense - Fusion,The Institute Of Chemical Engineers,5173663,4819.5
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Fusion,Machining Techology (Mach-Tech) Ltd,5173666,510.86
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Other,Machining Techology (Mach-Tech) Ltd,5173667,649.89
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Fusion,Machining Techology (Mach-Tech) Ltd,5173668,6843.6
DESNZ,UKAEA,4/4/2024,Professional Services,Expense - Fusion,Imperial College London - GBP,5173670,39860.01
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Fusion,Edmund Optics Ltd,5173671,867
DESNZ,UKAEA,4/4/2024,Professional Services,Expense - Fusion,AtkinsRealis UK Ltd,5173674,14996.69
DESNZ,UKAEA,4/4/2024,ICT,Expense - Fusion,National Instruments Ltd,5173678,2254.24
DESNZ,UKAEA,4/4/2024,Research,Expense - Fusion,The University Of Sheffield,5173682,15000
DESNZ,UKAEA,4/4/2024,Consultancy - Expense - Other (per Cabinet Office definition),Expense - Fusion,Frazer Nash Consultancy,5173683,7733.25
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Other,Forgeweld Ltd,5173685,5022
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Other,Forgeweld Ltd,5173686,1341.77
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Fusion,Schneider Electric Systems UK Limited,5173690,4052.83
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Fusion,CPS Ltd,5173692,6774.37
DESNZ,UKAEA,4/4/2024,Engineering Goods,Expense - Fusion,Metspin Ltd,5173702,938.35
DESNZ,UKAEA,4/4/2024,Operational Goods,Expense - Fusion,Respirex International Ltd,5173705,11425
DESNZ,UKAEA,4/4/2024,ICT,Expense - Fusion,Computacenter UK Ltd,5173710,4330.2
DESNZ,UKAEA,4/4/2024,ICT,Expense - Fusion,Computacenter UK Ltd,5173712,12923.82
DESNZ,UKAEA,4/4/2024,ICT,Expense - Other,Computacenter UK Ltd,5173713,23465.4
