Authority.Name,Fiscal.Year.End.Date,Cash.And.Cash.Equivalents,Investments,Receivables..Net,Other.Assets..Current.,Total.Current.Assets,Restricted.Cash.And.Investments,Long.Term.Receivables..Net,Other.Assets..Noncurrent.,Land.And.Other.Non.Depreciable.Property,Buildings.And.Equipment,Infrastructure,Accumulated.Depreciation,Net.Capital.Assets,Total.Noncurrent.Assets,Total.Assets,Accounts.Payable,Pension.Contribution.Payable..Current.,Other.Post.Employment.Benefits..Current.,Accrued.Liabilities,Deferred.Revenues,Bonds.And.Notes.Payable..Current.,Other.Long.Term.Obligations.Due.Within.One.Year,Total.Current.Liabilities,Pension.Contribution.Payable..Noncurrent.,Other.Post.Employment.Benefits..Noncurrent.,Bonds.And.Notes.Payable..Noncurrent.,Long.Term.Leases,Other.Long.Term.Obligations,Total.Noncurrent.Liabilities,Total.Liabilities,Invested.In.Capital.Assets..Net.Of.Related.Debt,Restricted.Net.Assets,Unrestricted.Net.Assets,Total.Net.Assets,Charges.For.Services,Rental.And.Financing.Income,Other.Operating.Revenues,Total.Operating.Revenue,Salaries.And.Wages,Other.Employee.Benefits,Professional.Services.Contracts,Supplies.And.Materials,Depreciation.And.Amortization,Other.Operating.Expenses,Total.Operating.Expenses,Operating.Income..Loss.,Investment.Earnings,State.Subsidies...Grants,Federal.Subsidies...Grants,Municipal.Subsidies...Grants,Public.Authority.Subsidies,Other.Non.operating.Revenues,Total.Non.Operating.Revenue,Interest.And.Other.Financing.Charges,Subsidies.To.Other.Public.Authorities,Grants.And.Donations,Other.Non.Operating.Expenses,Total.Non.Operating.Expenses,Income..Loss..Before.Contributions,Capital.Contributions,Change.in.net.assets,Net.Assets..Deficit..Beginning.Of.Year,Other.Net.Assets.Changes,Net.Assets..Deficit..At.End.Of.Year,,
Batavia Development Corporation,4/30/2024,144843.0,0.0,38903.0,0.0,183746.0,20000.0,0.0,447.0,0.0,0.0,0.0,0.0,0.0,20447.0,204193.0,3540.0,0.0,0.0,1462.0,20000.0,0.0,0.0,25002.0,0.0,0.0,0.0,0.0,0.0,0.0,25002.0,0.0,0.0,179191.0,179191.0,95000.0,0.0,0.0,95000.0,62350.0,7364.0,35270.0,1424.0,0.0,347.0,106755.0,-11755.0,0.0,0.0,0.0,0.0,0.0,210000.0,210000.0,0.0,0.0,0.0,210000.0,210000.0,-11755.0,0.0,-11755.0,190946.0,0.0,179191.0,204193.0,OK
Cheektowaga Economic Development Corporation,4/30/2024,517838.0,0.0,0.0,1452.0,519290.0,0.0,586675.0,0.0,0.0,0.0,0.0,0.0,0.0,586675.0,1105965.0,3605.0,0.0,0.0,0.0,0.0,0.0,0.0,3605.0,0.0,0.0,0.0,0.0,0.0,0.0,3605.0,0.0,0.0,1102360.0,1102360.0,0.0,3395.0,2369.0,5764.0,24179.0,0.0,3675.0,0.0,0.0,1553.0,29407.0,-23643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23643.0,0.0,-23643.0,1126003.0,0.0,1102360.0,1105965.0,OK
Utica Harbor Point Local Development Corporation,4/30/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11046782.0,0.0,0.0,0.0,11046782.0,11046782.0,11046782.0,0.0,0.0,0.0,0.0,0.0,0.0,2385965.0,2385965.0,0.0,0.0,0.0,0.0,0.0,0.0,2385965.0,8660817.0,0.0,0.0,8660817.0,0.0,0.0,0.0,0.0,0.0,0.0,24882.0,0.0,0.0,2482.0,27364.0,-27364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142579.0,0.0,0.0,0.0,142579.0,-169943.0,1317757.0,1147814.0,7513003.0,0.0,8660817.0,11046782.0,OK
Olean Local Development Corporation,5/31/2024,79675.0,0.0,39917.0,0.0,119592.0,0.0,85768.0,0.0,0.0,0.0,0.0,0.0,0.0,85768.0,205360.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,203860.0,203860.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,41.0,1541.0,-1541.0,0.0,0.0,0.0,0.0,0.0,2938.0,2938.0,0.0,0.0,0.0,0.0,0.0,1397.0,0.0,1397.0,202463.0,0.0,203860.0,205360.0,OK
Sleepy Hollow Local Development Corporation,5/31/2024,373202.0,0.0,16883.0,19540745.0,19930830.0,0.0,31514258.0,0.0,21071690.0,978584.0,0.0,51224.0,21999050.0,53513308.0,73444138.0,475480.0,0.0,0.0,0.0,0.0,1156111.0,0.0,1631591.0,0.0,0.0,33653889.0,33018459.0,0.0,66672348.0,68303939.0,5171369.0,0.0,-31170.0,5140199.0,0.0,0.0,0.0,0.0,54424.0,10850.0,188265.0,1418.0,2690.0,8338.0,265985.0,-265985.0,0.0,0.0,0.0,0.0,0.0,1019356.0,1019356.0,1046173.0,0.0,0.0,0.0,1046173.0,-292802.0,0.0,-292802.0,5433001.0,0.0,5140199.0,73444138.0,OK
Theater Subdistrict Council Local Development Corporation,5/31/2024,206391.0,0.0,0.0,0.0,206391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206391.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,0.0,195391.0,0.0,195391.0,17784.0,0.0,0.0,17784.0,0.0,0.0,2400.0,0.0,0.0,17784.0,20184.0,-2400.0,0.0,0.0,0.0,0.0,0.0,2203.0,2203.0,0.0,0.0,0.0,11000.0,11000.0,-11197.0,0.0,-11197.0,206588.0,0.0,195391.0,206391.0,OK
Bronx Overall Economic Development Corporation,6/30/2024,1361312.9,0.0,1885805.4,29973.2,3277091.5,23259624.2,0.0,0.0,107000.0,346518.2,0.0,157614.2,295904.0,23555528.2,26832619.8,93057.5,0.0,0.0,132575.9,115000.0,0.0,0.0,340633.3,0.0,0.0,0.0,0.0,0.0,0.0,340633.3,0.0,26491986.5,0.0,26491986.5,0.0,15818.2,623533.6,639351.9,879344.3,130673.0,271030.2,486688.5,4604.0,548067.3,2320407.3,-1681055.4,639033.6,359466.4,0.0,646695.6,0.0,26075.0,1671270.6,11.5,78439.4,0.0,0.0,78450.9,-88235.7,0.0,-88235.7,26580222.1,0.0,26491986.5,26832619.8,OK
Brooklyn Bridge Park Corporation,6/30/2024,51736424.0,18840661.0,296945.0,179204.0,71053234.0,0.0,133394974.0,0.0,4162068.0,427474298.0,0.0,123691095.0,307945271.0,441340245.0,512393479.0,5200425.0,0.0,0.0,0.0,946572.0,0.0,708140.0,6855137.0,0.0,0.0,0.0,119019303.0,6888237.0,125907540.0,132762677.0,307945271.0,13688590.0,57996941.0,379630802.0,1887975.0,20257185.0,8335024.0,30480184.0,6873018.0,0.0,1568346.0,0.0,21447070.0,8669446.0,38557880.0,-8077696.0,0.0,0.0,0.0,0.0,0.0,1030087.0,1030087.0,0.0,0.0,0.0,0.0,0.0,-7047609.0,0.0,-7047609.0,386678411.0,0.0,379630802.0,512393479.0,OK
Build NYC Resource Corporation,6/30/2024,1413375.0,6454808.0,2605.0,0.0,7870788.0,1646076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1646076.0,9516864.0,0.0,0.0,0.0,70544.0,361991.0,0.0,0.0,432535.0,0.0,0.0,0.0,0.0,0.0,0.0,432535.0,0.0,0.0,9084329.0,9084329.0,0.0,3042920.0,0.0,3042920.0,0.0,0.0,2241500.0,0.0,0.0,60955.0,2302455.0,740465.0,252112.0,0.0,0.0,0.0,0.0,0.0,252112.0,0.0,0.0,0.0,0.0,0.0,992577.0,0.0,992577.0,8091752.0,0.0,9084329.0,9516864.0,OK
Governors Island Corporation,6/30/2024,8203257.0,6183311.0,6424579.0,94085.0,20905232.0,5562119.0,38731643.0,0.0,1.0,20546009.0,469132259.0,175351072.0,314327197.0,358620959.0,379526191.0,13910710.0,0.0,0.0,0.0,1491881.0,0.0,0.0,15402591.0,0.0,0.0,0.0,0.0,40201738.0,40201738.0,55604329.0,314327197.0,850000.0,8744665.0,323921862.0,5612003.0,3137910.0,19250569.0,28000482.0,9399559.0,0.0,14871831.0,4355790.0,25508189.0,0.0,54135369.0,-26134887.0,145007.0,0.0,0.0,33245429.0,0.0,3765083.0,37155519.0,0.0,0.0,0.0,0.0,0.0,11020632.0,0.0,11020632.0,312901230.0,0.0,323921862.0,379526191.0,OK
