Transaction Date,Description,Amount
4/30/2024,Cash and Cash Equivalents,144843
4/30/2024,Cash and Cash Equivalents,517838
4/30/2024,Cash and Cash Equivalents,0
4/30/2024,Investment,0
4/30/2024,Investment,0
4/30/2024,Investment,0
4/30/2024,Net Receivables,38903
4/30/2024,Net Receivables,0
4/30/2024,Net Receivables,0
4/30/2024,Current Assets,204193
4/30/2024,Current Assets,1105965
4/30/2024,Current Assets,11046782
4/30/2024,Long-term receivables,0
4/30/2024,Long-term receivables,586675
4/30/2024,Long-term receivables,0
4/30/2024,Non-Current Assets,20894
4/30/2024,Non-Current Assets,11633457
4/30/2024,Non-Current Assets,11046782
4/30/2024,Payable,227733
4/30/2024,Payable,1109570
4/30/2024,Payable,11046782
4/30/2024,Deferred revenue,1462
4/30/2024,Deferred revenue,0
4/30/2024,Deferred revenue,0
4/30/2024,Net Assets,179191
4/30/2024,Net Assets,1102360
4/30/2024,Net Assets,0
4/30/2024,Total Operating revenue,0
4/30/2024,Total Operating revenue,2369
4/30/2024,Total Operating revenue,0
4/30/2024,Operating Income,106755
4/30/2024,Operating Income,29407
4/30/2024,Operating Income,27364
4/30/2024,Investment Earnings,-11755
4/30/2024,Investment Earnings,-23643
4/30/2024,Investment Earnings,-27364
5/31/2024,Cash and Cash Equivalents,79675
5/31/2024,Cash and Cash Equivalents,373202
5/31/2024,Cash and Cash Equivalents,206391
5/31/2024,Investment,0
5/31/2024,Investment,0
5/31/2024,Investment,0
5/31/2024,Net Receivables,39917
5/31/2024,Net Receivables,16883
5/31/2024,Net Receivables,0
5/31/2024,Current Assets,205360
5/31/2024,Current Assets,73444138
5/31/2024,Current Assets,206391
5/31/2024,Long-term receivables,85768
5/31/2024,Long-term receivables,31514258
5/31/2024,Long-term receivables,0
5/31/2024,Non-Current Assets,22136042
5/31/2024,Non-Current Assets,53513308
5/31/2024,Non-Current Assets,453518.2
5/31/2024,Payable,205360
5/31/2024,Payable,73919618
5/31/2024,Payable,217391
5/31/2024,Deferred revenue,0
5/31/2024,Deferred revenue,0
5/31/2024,Deferred revenue,0
5/31/2024,Net Assets,203860
5/31/2024,Net Assets,-31170
5/31/2024,Net Assets,0
5/31/2024,Total Operating revenue,0
5/31/2024,Total Operating revenue,0
5/31/2024,Total Operating revenue,0
5/31/2024,Operating Income,1541
5/31/2024,Operating Income,265985
5/31/2024,Operating Income,20184
5/31/2024,Investment Earnings,-1541
5/31/2024,Investment Earnings,-265985
5/31/2024,Investment Earnings,-2400
6/30/2024,Cash and Cash Equivalents,1361312.9
6/30/2024,Cash and Cash Equivalents,51736424
6/30/2024,Cash and Cash Equivalents,1413375
6/30/2024,Cash and Cash Equivalents,8203257
6/30/2024,Cash and Cash Equivalents,141060
6/30/2024,Cash and Cash Equivalents,87980219.6
6/30/2024,Cash and Cash Equivalents,1315320
6/30/2024,Cash and Cash Equivalents,186586630
6/30/2024,Cash and Cash Equivalents,10197869
6/30/2024,Cash and Cash Equivalents,3102
6/30/2024,Cash and Cash Equivalents,69555
6/30/2024,Cash and Cash Equivalents,6229075
6/30/2024,Cash and Cash Equivalents,19066681
6/30/2024,Cash and Cash Equivalents,1145071
6/30/2024,Cash and Cash Equivalents,23210
6/30/2024,Cash and Cash Equivalents,739316
6/30/2024,Cash and Cash Equivalents,360734
6/30/2024,Investment,0
6/30/2024,Investment,18840661
6/30/2024,Investment,6454808
6/30/2024,Investment,6183311
6/30/2024,Investment,0
6/30/2024,Investment,379987236.7
6/30/2024,Investment,1522744
6/30/2024,Investment,124307173
6/30/2024,Investment,3370213
6/30/2024,Investment,0
6/30/2024,Investment,0
6/30/2024,Investment,0
6/30/2024,Investment,21967940
6/30/2024,Investment,0
6/30/2024,Investment,0
6/30/2024,Investment,0
6/30/2024,Investment,0
6/30/2024,Net Receivables,1885805.4
6/30/2024,Net Receivables,296945
6/30/2024,Net Receivables,2605
6/30/2024,Net Receivables,6424579
6/30/2024,Net Receivables,2190696
6/30/2024,Net Receivables,527517.1
6/30/2024,Net Receivables,149747
6/30/2024,Net Receivables,527924894
6/30/2024,Net Receivables,8982744
6/30/2024,Net Receivables,4021
6/30/2024,Net Receivables,0
6/30/2024,Net Receivables,0
6/30/2024,Net Receivables,113803
6/30/2024,Net Receivables,51181
6/30/2024,Net Receivables,0
6/30/2024,Net Receivables,98503783.8
6/30/2024,Net Receivables,19936
6/30/2024,Current Assets,26832619.7
6/30/2024,Current Assets,512393479
6/30/2024,Current Assets,9516864
6/30/2024,Current Assets,379526191
6/30/2024,Current Assets,2334399
6/30/2024,Current Assets,601711118.9
6/30/2024,Current Assets,2987811
6/30/2024,Current Assets,4017799748
6/30/2024,Current Assets,44251736
6/30/2024,Current Assets,7123
6/30/2024,Current Assets,767362
6/30/2024,Current Assets,6315903
6/30/2024,Current Assets,49658911
6/30/2024,Current Assets,1196252
6/30/2024,Current Assets,23563
6/30/2024,Current Assets,180809273.3
6/30/2024,Current Assets,2480774
6/30/2024,Long-term receivables,0
6/30/2024,Long-term receivables,133394974
6/30/2024,Long-term receivables,0
6/30/2024,Long-term receivables,38731643
6/30/2024,Long-term receivables,0
6/30/2024,Long-term receivables,0
6/30/2024,Long-term receivables,0
6/30/2024,Long-term receivables,2231847822
6/30/2024,Long-term receivables,16649728
6/30/2024,Long-term receivables,0
6/30/2024,Long-term receivables,0
6/30/2024,Long-term receivables,0
6/30/2024,Long-term receivables,0
6/30/2024,Long-term receivables,0
6/30/2024,Long-term receivables,0
6/30/2024,Long-term receivables,0
6/30/2024,Long-term receivables,0
6/30/2024,Non-Current Assets,455191894.2
6/30/2024,Non-Current Assets,441340245
6/30/2024,Non-Current Assets,22192086
6/30/2024,Non-Current Assets,358620959
6/30/2024,Non-Current Assets,0
6/30/2024,Non-Current Assets,133216145.5
6/30/2024,Non-Current Assets,741187816
6/30/2024,Non-Current Assets,3209824680
6/30/2024,Non-Current Assets,21557060
6/30/2024,Non-Current Assets,544306
6/30/2024,Non-Current Assets,805454
6/30/2024,Non-Current Assets,31110
6/30/2024,Non-Current Assets,8510487
6/30/2024,Non-Current Assets,0
6/30/2024,Non-Current Assets,0
6/30/2024,Non-Current Assets,87932074.4
6/30/2024,Non-Current Assets,2983165
6/30/2024,Payable,27040677.3
6/30/2024,Payable,518540476
6/30/2024,Payable,9878855
6/30/2024,Payable,394928782
6/30/2024,Payable,4527558
6/30/2024,Payable,732670607.4
6/30/2024,Payable,2995811
6/30/2024,Payable,4175307325
6/30/2024,Payable,45260247
6/30/2024,Payable,7123
6/30/2024,Payable,790343
6/30/2024,Payable,6315903
6/30/2024,Payable,49693545
6/30/2024,Payable,1200735
6/30/2024,Payable,23563
6/30/2024,Payable,242483773.2
6/30/2024,Payable,2495144
6/30/2024,Deferred revenue,132575.9
6/30/2024,Deferred revenue,0
6/30/2024,Deferred revenue,70544
6/30/2024,Deferred revenue,0
6/30/2024,Deferred revenue,61426
6/30/2024,Deferred revenue,102992826.7
6/30/2024,Deferred revenue,0
6/30/2024,Deferred revenue,195958291
6/30/2024,Deferred revenue,0
6/30/2024,Deferred revenue,2124
6/30/2024,Deferred revenue,6943
6/30/2024,Deferred revenue,172750
6/30/2024,Deferred revenue,0
6/30/2024,Deferred revenue,51181
6/30/2024,Deferred revenue,0
6/30/2024,Deferred revenue,3908770.8
6/30/2024,Deferred revenue,0
6/30/2024,Net Assets,0
6/30/2024,Net Assets,57996941
6/30/2024,Net Assets,9084329
6/30/2024,Net Assets,8744665
6/30/2024,Net Assets,75555
6/30/2024,Net Assets,-2427289852
6/30/2024,Net Assets,224373
6/30/2024,Net Assets,335524150
6/30/2024,Net Assets,25762740
6/30/2024,Net Assets,4999
6/30/2024,Net Assets,397076
6/30/2024,Net Assets,6143153
6/30/2024,Net Assets,0
6/30/2024,Net Assets,1140588
6/30/2024,Net Assets,23563
6/30/2024,Net Assets,-839236050.5
6/30/2024,Net Assets,1683821
6/30/2024,Total Operating revenue,623533.6
6/30/2024,Total Operating revenue,8335024
6/30/2024,Total Operating revenue,0
6/30/2024,Total Operating revenue,19250569
6/30/2024,Total Operating revenue,4692400
6/30/2024,Total Operating revenue,338970589.9
6/30/2024,Total Operating revenue,0
6/30/2024,Total Operating revenue,15734441
6/30/2024,Total Operating revenue,0
6/30/2024,Total Operating revenue,2100
6/30/2024,Total Operating revenue,1032500
6/30/2024,Total Operating revenue,0
6/30/2024,Total Operating revenue,0
6/30/2024,Total Operating revenue,281670
6/30/2024,Total Operating revenue,0
6/30/2024,Total Operating revenue,192084901
6/30/2024,Total Operating revenue,23760
6/30/2024,Operating Income,2320407.3
6/30/2024,Operating Income,38557880
6/30/2024,Operating Income,2302455
6/30/2024,Operating Income,54135369
6/30/2024,Operating Income,4680665
6/30/2024,Operating Income,1523373.2
6/30/2024,Operating Income,664577
6/30/2024,Operating Income,1126162641
6/30/2024,Operating Income,3261477
6/30/2024,Operating Income,2100
6/30/2024,Operating Income,1924463
6/30/2024,Operating Income,432009
6/30/2024,Operating Income,49752
6/30/2024,Operating Income,986233
6/30/2024,Operating Income,3656
6/30/2024,Operating Income,512152.7
6/30/2024,Operating Income,625709
6/30/2024,Investment Earnings,-1681055.4
6/30/2024,Investment Earnings,-8077696
6/30/2024,Investment Earnings,740465
6/30/2024,Investment Earnings,-26134887
6/30/2024,Investment Earnings,11735
6/30/2024,Investment Earnings,337447216.7
6/30/2024,Investment Earnings,-664577
6/30/2024,Investment Earnings,-31346595
6/30/2024,Investment Earnings,-1282098
6/30/2024,Investment Earnings,0
6/30/2024,Investment Earnings,-891963
6/30/2024,Investment Earnings,1090984
6/30/2024,Investment Earnings,813498
6/30/2024,Investment Earnings,-704563
