Transaction_date,Current assets: All the assets of a company that are expected to be sold or used as a result of standard business,Cost of goods sold: The total amount a company paid as a cost directly related to the sale of products,Depreciation and amortization: Depreciation refers to the loss of value of a tangible fixed asset over,"EBITDA: Earnings before interest, taxes, depreciation, and amortization. A measure of a company's overall",Inventory: The accounting of items and raw materials that a company either uses in production or sells,Net Income: The overall profitability of a company after all expenses and costs have been deducted from total,Total Receivables: The balance of money due to a firm for goods or services delivered or used but not yet paid for
4/1/2024,48.415,53.892,0.625,-0.976,7.558,14.44,13.872
4/1/2024,1732.482,812.593,106.606,596.035,153.541,451.779,291.267
4/1/2024,3651,3161.2,737,1384,1148.9,-168.8,1536
4/1/2024,108.725,443.578,49.387,89.683,1.461,23.994,69.04
4/1/2024,108.725,443.578,49.387,89.683,1.461,23.994,69.04
4/1/2024,6.825,2.821,6.519,-2.485,0,53.607,0.842
4/1/2024,7111.036,541.616,425.498,874.568,0,1205.596,788.7
4/1/2024,1.486,0.128,0.018,1.411,0,1.407,0.73
4/1/2024,2048.1,1493.8,518.5,1108,0,103.2,700.2
4/1/2024,50.465,73.464,1.501,-67.401,0,-66.515,0
4/1/2024,320.857,10.07,25.477,-69.168,16.117,-128.081,67.907
4/1/2024,214.87,167.896,10.631,50.963,62.241,23.646,53.156
4/1/2024,17.73,333.86,19.7,22.968,1.541,5.539,4.254
4/2/2024,1343.966,1437.625,102.949,476.575,423.426,275.749,593.755
4/2/2024,60.189,53.948,1.234,3.513,18.427,2.19,11.792
4/2/2024,2979,19869,340,999,1279,407,1453
4/2/2024,285.042,5.622,1.714,-157.488,7.637,-169.659,13.838
4/2/2024,63.556,28.582,52.318,107.985,0,42.325,17.849
4/2/2024,185.148,117.729,103.743,181.557,0,-58.395,100.467
3/2/2024,31.047,58.173,1.818,3.525,17.475,1.069,12.895
4/2/2024,16.25,27.989,1.561,0.984,3.986,-0.672,6.37
4/2/2024,1474,5091,491,1214,78,188,211
4/2/2024,299.628,157.383,98.927,11.491,0,-119.123,54.924
4/2/2024,2.357,1.824,0.028,0.137,0.422,0.107,0.567
4/2/2024,79.882,49.332,3.439,0.428,60.419,-4.725,13.862
4/3/2024,1783.886,1996.109,161.863,646.983,479.66,345.758,397.02
4/3/2024,8.958,11.176,0.784,1.01,2.047,0.139,2.218
4/3/2024,1.613,2.503,0.081,-0.681,1.019,-1.028,0.452
4/3/2024,22.226,27.621,2.112,3.469,6.884,0.035,8.938
4/3/2024,98.234,9.488,0.075,23.473,0,20.053,16.519
4/3/2024,0.955,0.743,0.05,-6.362,0.026,-10.221,0.257
4/3/2024,100.163,61.469,10.529,8.177,3.16,-5.887,73.216
4/3/2024,7.575,1.287,0.468,-4.569,0.5,-14.67,0.403
4/3/2024,296.086,119.669,1.248,258.386,0,96.041,28.846
4/3/2024,84.685,58.455,141.815,208.577,0,58.036,30.109
4/3/2024,3.625,0.651,0.523,-7.107,0.013,-7.774,0.052
4/3/2024,1417.658,307.608,56.98,666.305,30.568,453.689,295.352
4/3/2024,0.018,0.031,0,-0.678,0,-0.772,0.002
4/3/2024,0.369,0.297,0.027,-1.214,0.034,-1.491,0.218
4/4/2024,72.992,83.443,3.23,10.686,41.332,4.598,25.102
4/4/2024,1993.359,1590.227,166.695,782.487,0,422.509,138.965
4/4/2024,14228,48396,1374,6211,12561,2314,0
4/4/2024,30.958,97.158,14.068,9.182,9.317,-5.361,12.327
4/4/2024,277.684,70.827,3.532,-71.56,49.462,-76.396,36.867
4/4/2024,7640.9,1659.4,714.9,7100.9,929.9,4430.7,2485.4
4/4/2024,252.761,331.937,23.568,115.204,86.373,60.413,108.365
4/4/2024,434.36,72.605,10.849,-34.667,0,-55.524,95.274
4/4/2024,167.527,14.378,8.875,7.43,23.132,-36.95,26.387
4/4/2024,0.338,0.042,0.004,-0.261,0.236,-0.262,0.062
4/4/2024,5610,2015,196,1379,131,1169,1216
4/4/2024,1109.723,392.624,49.217,132.874,0,65.14,238.768
4/4/2024,518.946,312.347,4.826,-302.512,7.032,-324.277,5.515
4/4/2024,228.415,111.948,119.78,551.208,0,143.689,97.558
4/4/2024,4.362,7.648,0.596,-4.25,0,-4.844,2.007
4/5/2024,6619,9362,758,3788,1813,2203,3344
4/5/2024,134.783,68.011,2.148,6.179,32.192,-0.308,18.655
