Authority.Name,Fiscal.Year.End.Date,Cash.And.Cash.Equivalents,Investments,Receivables..Net,Other.Assets..Current.,Total.Current.Assets,Restricted.Cash.And.Investments,Long.Term.Receivables..Net,Other.Assets..Noncurrent.,Land.And.Other.Non.Depreciable.Property,Buildings.And.Equipment,Infrastructure,Accumulated.Depreciation,Net.Capital.Assets,Total.Noncurrent.Assets,Total.Assets,Accounts.Payable,Pension.Contribution.Payable..Current.,Other.Post.Employment.Benefits..Current.,Accrued.Liabilities,Deferred.Revenues,Bonds.And.Notes.Payable..Current.,Other.Long.Term.Obligations.Due.Within.One.Year,Total.Current.Liabilities,Pension.Contribution.Payable..Noncurrent.,Other.Post.Employment.Benefits..Noncurrent.,Bonds.And.Notes.Payable..Noncurrent.,Long.Term.Leases,Other.Long.Term.Obligations,Total.Noncurrent.Liabilities,Total.Liabilities,Invested.In.Capital.Assets..Net.Of.Related.Debt,Restricted.Net.Assets,Unrestricted.Net.Assets,Total.Net.Assets,Charges.For.Services,Rental.And.Financing.Income,Other.Operating.Revenues,Total.Operating.Revenue,Salaries.And.Wages,Other.Employee.Benefits,Professional.Services.Contracts,Supplies.And.Materials,Depreciation.And.Amortization,Other.Operating.Expenses,Total.Operating.Expenses,Operating.Income..Loss.,Investment.Earnings,State.Subsidies...Grants,Federal.Subsidies...Grants,Municipal.Subsidies...Grants,Public.Authority.Subsidies,Other.Non.operating.Revenues,Total.Non.Operating.Revenue,Interest.And.Other.Financing.Charges,Subsidies.To.Other.Public.Authorities,Grants.And.Donations,Other.Non.Operating.Expenses,Total.Non.Operating.Expenses,Income..Loss..Before.Contributions,Capital.Contributions,Change.in.net.assets,Net.Assets..Deficit..Beginning.Of.Year,Other.Net.Assets.Changes,Net.Assets..Deficit..At.End.Of.Year,,
Batavia Development Corporation,4/30/2024,144843.00,0.00,38903.00,0.00,183746.00,20000.00,0.00,447.00,0.00,0.00,0.00,0.00,0.00,20447.00,204193.00,3540.00,0.00,0.00,1462.00,20000.00,0.00,0.00,25002.00,0.00,0.00,0.00,0.00,0.00,0.00,25002.00,0.00,0.00,179191.00,179191.00,95000.00,0.00,0.00,95000.00,62350.00,7364.00,35270.00,1424.00,0.00,347.00,106755.00,-11755.00,0.00,0.00,0.00,0.00,0.00,210000.00,210000.00,0.00,0.00,0.00,210000.00,210000.00,-11755.00,0.00,-11755.00,190946.00,0.00,179191.00,204193.00,OK
Cheektowaga Economic Development Corporation,4/30/2024,517838.00,0.00,0.00,1452.00,519290.00,0.00,586675.00,0.00,0.00,0.00,0.00,0.00,0.00,586675.00,1105965.00,3605.00,0.00,0.00,0.00,0.00,0.00,0.00,3605.00,0.00,0.00,0.00,0.00,0.00,0.00,3605.00,0.00,0.00,1102360.00,1102360.00,0.00,3395.00,2369.00,5764.00,24179.00,0.00,3675.00,0.00,0.00,1553.00,29407.00,-23643.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23643.00,0.00,-23643.00,1126003.00,0.00,1102360.00,1105965.00,OK
Utica Harbor Point Local Development Corporation,4/30/2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11046782.00,0.00,0.00,0.00,11046782.00,11046782.00,11046782.00,0.00,0.00,0.00,0.00,0.00,0.00,2385965.00,2385965.00,0.00,0.00,0.00,0.00,0.00,0.00,2385965.00,8660817.00,0.00,0.00,8660817.00,0.00,0.00,0.00,0.00,0.00,0.00,24882.00,0.00,0.00,2482.00,27364.00,-27364.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142579.00,0.00,0.00,0.00,142579.00,-169943.00,1317757.00,1147814.00,7513003.00,0.00,8660817.00,11046782.00,OK
Olean Local Development Corporation,5/31/2024,79675.00,0.00,39917.00,0.00,119592.00,0.00,85768.00,0.00,0.00,0.00,0.00,0.00,0.00,85768.00,205360.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,0.00,0.00,203860.00,203860.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,0.00,0.00,41.00,1541.00,-1541.00,0.00,0.00,0.00,0.00,0.00,2938.00,2938.00,0.00,0.00,0.00,0.00,0.00,1397.00,0.00,1397.00,202463.00,0.00,203860.00,205360.00,OK
Sleepy Hollow Local Development Corporation,5/31/2024,373202.00,0.00,16883.00,19540745.00,19930830.00,0.00,31514258.00,0.00,21071690.00,978584.00,0.00,51224.00,21999050.00,53513308.00,73444138.00,475480.00,0.00,0.00,0.00,0.00,1156111.00,0.00,1631591.00,0.00,0.00,33653889.00,33018459.00,0.00,66672348.00,68303939.00,5171369.00,0.00,-31170.00,514199.00,0.00,0.00,0.00,0.00,54424.00,10850.00,188265.00,1418.00,2690.00,8338.00,265985.00,-265985.00,0.00,0.00,0.00,0.00,0.00,1019356.00,1019356.00,1046173.00,0.00,0.00,0.00,1046173.00,-292802.00,0.00,-292802.00,5433001.00,0.00,5140199.00,73444138.00,OK
Theater Subdistrict Council Local Development Corporation,5/31/2024,206391.00,0.00,0.00,0.00,206391.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206391.00,11000.00,0.00,0.00,0.00,0.00,0.00,0.00,11000.00,0.00,0.00,0.00,0.00,0.00,0.00,11000.00,0.00,195391.00,0.00,195391.00,17784.00,0.00,0.00,17784.00,0.00,0.00,2400.00,0.00,0.00,17784.00,20184.00,-2400.00,0.00,0.00,0.00,0.00,0.00,2203.00,2203.00,0.00,0.00,0.00,11000.00,11000.00,-11197.00,0.00,-11197.00,206588.00,0.00,195391.00,206391.00,OK
Bronx Overall Economic Development Corporation,6/30/2024,1361312.90,0.00,1885805.40,29973.20,3277091.50,23259624.20,0.00,0.00,107000.00,346518.20,0.00,157614.20,295904.00,23555528.20,26832619.80,93057.50,0.00,0.00,132575.90,115000.00,0.00,0.00,340633.30,0.00,0.00,0.00,0.00,0.00,0.00,340633.30,0.00,26491986.50,0.00,26491986.50,0.00,15818.20,623533.60,639351.90,879344.30,130673.00,271030.20,486688.50,4604.00,548067.30,2320407.30,-1681055.40,639033.60,359466.40,0.00,646695.60,0.00,26075.00,1671270.60,11.50,78439.40,0.00,0.00,78450.90,-88235.70,0.00,-88235.70,26580222.10,0.00,26491986.50,26832619.80,OK
Brooklyn Bridge Park Corporation,6/30/2024,51736424.00,18840661.00,296945.00,179204.00,71053234.00,0.00,133394974.00,0.00,4162068.00,427474298.00,0.00,123691095.00,307945271.00,441340245.00,512393479.00,5200425.00,0.00,0.00,0.00,946572.00,0.00,708140.00,6855137.00,0.00,0.00,0.00,119019303.00,6888237.00,125907540.00,132762677.00,307945271.00,13688590.00,57996941.00,379630802.00,1887975.00,20257185.00,8335024.00,30480184.00,6873018.00,0.00,1568346.00,0.00,21447070.00,8669446.00,38557880.00,-8077696.00,0.00,0.00,0.00,0.00,0.00,1030087.00,1030087.00,0.00,0.00,0.00,0.00,0.00,-7047609.00,0.00,-7047609.00,386678411.00,0.00,379630802.00,512393479.00,OK
Build NYC Resource Corporation,6/30/2024,1413375.00,6454808.00,2605.00,0.00,7870788.00,1646076.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1646076.00,9516864.00,0.00,0.00,0.00,70544.00,361991.00,0.00,0.00,432535.00,0.00,0.00,0.00,0.00,0.00,0.00,432535.00,0.00,0.00,9084329.00,9084329.00,0.00,3042920.00,0.00,3042920.00,0.00,0.00,2241500.00,0.00,0.00,60955.00,2302455.00,740465.00,252112.00,0.00,0.00,0.00,0.00,0.00,252112.00,0.00,0.00,0.00,0.00,0.00,992577.00,0.00,992577.00,8091752.00,0.00,9084329.00,9516864.00,OK
Governors Island Corporation,6/30/2024,8203257.00,6183311.00,6424579.00,94085.00,20905232.00,5562119.00,38731643.00,0.00,1.00,20546009.00,469132259.00,175351072.00,314327197.00,358620959.00,379526191.00,13910710.00,0.00,0.00,0.00,1491881.00,0.00,0.00,15402591.00,0.00,0.00,0.00,0.00,40201738.00,40201738.00,55604329.00,314327197.00,850000.00,8744665.00,323921862.00,5612003.00,3137910.00,19250569.00,28000482.00,9399559.00,0.00,14871831.00,4355790.00,25508189.00,0.00,54135369.00,-26134887.00,145007.00,0.00,0.00,33245429.00,0.00,3765083.00,37155519.00,0.00,0.00,0.00,0.00,0.00,11020632.00,0.00,11020632.00,312901230.00,0.00,323921862.00,379526191.00,OK
Hudson Yards Development Corporation,6/30/2024,141060.00,0.00,2190696.00,2643.00,2334399.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2344399.00,2193159.00,4259.00,0.00,61426.00,0.00,0.00,0.00,2258844.00,0.00,0.00,0.00,0.00,0.00,0.00,2258844.00,0.00,0.00,75555.00,75555.00,0.00,0.00,4692400.00,4692400.00,623969.00,283726.00,3752821.00,426.00,0.00,19723.00,4680665.00,11735.00,2153.00,0.00,0.00,0.00,0.00,0.00,2153.00,0.00,0.00,0.00,0.00,0.00,13888.00,0.00,13888.00,61667.00,0.00,75555.00,2334399.00,Mismatch
