Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Aalco Limited,5127199,-749.88
DESNZ,UKAEA,4/5/2023,Research,Other,HSE - Financial Operations,5145125,"-5,011.00"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Burckhardt Compression UK Ltd,5145296,"7,932.60"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Sundry Supplier,5145297,"1,197.00"
DESNZ,UKAEA,4/5/2023,ICT,Fusion,Comsol,5145300,"17,990.00"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Budget Forktrucks Ltd,5145305,736.67
DESNZ,UKAEA,4/5/2023,Engineering Goods,Property,Budget Forktrucks Ltd,5145306,"1,256.67"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,RS Components Ltd,5145307,"3,144.00"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Budget Forktrucks Ltd,5145314,606.67
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Budget Forktrucks Ltd,5145315,606.67
DESNZ,UKAEA,4/5/2023,Professional Services,Property,Oxford Innovation Ltd.,5145317,"7,399.20"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Anixter UK Ltd,5145320,912.4
DESNZ,UKAEA,4/5/2023,Professional Services,Property,Carter Jonas LLP,5145321,"1,500.00"
DESNZ,UKAEA,4/5/2023,Facilities,Other,SouthernsBroadstock Limited,5145323,"12,722.00"
DESNZ,UKAEA,4/5/2023,Research,Other,Frazer Nash Consultancy,5145326,"21,055.20"
DESNZ,UKAEA,4/5/2023,Construction,Property,Anixter UK Ltd,5145332,511
DESNZ,UKAEA,4/5/2023,Professional Services,Property,Blake Morgan LLP,5145335,"1,201.20"
DESNZ,UKAEA,4/5/2023,Professional Services,Property,Blake Morgan LLP,5145337,"2,001.80"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Farnell Electronic Components Ltd,5145342,"2,302.60"
DESNZ,UKAEA,4/5/2023,ICT,Other,Computacenter UK Ltd,5145344,"18,742.85"
DESNZ,UKAEA,4/5/2023,ICT,Fusion,Computacenter UK Ltd,5145345,"4,315.10"
DESNZ,UKAEA,4/5/2023,ICT,Fusion,Computacenter UK Ltd,5145346,"12,400.64"
DESNZ,UKAEA,4/5/2023,ICT,Fusion,Computacenter UK Ltd,5145349,"8,828.30"
DESNZ,UKAEA,4/5/2023,ICT,Property,Computacenter UK Ltd,5145350,"18,930.28"
DESNZ,UKAEA,4/5/2023,ICT,Fusion,Computacenter UK Ltd,5145351,"9,294.72"
DESNZ,UKAEA,4/5/2023,ICT,Other,Computacenter UK Ltd,5145352,"2,452.96"
DESNZ,UKAEA,4/5/2023,ICT,Other,Computacenter UK Ltd,5145353,"3,437.40"
DESNZ,UKAEA,4/5/2023,Professional Services,Property,Blake Morgan LLP,5145356,"2,347.40"
DESNZ,UKAEA,4/5/2023,Facilities,Fusion,CPS Ltd,5145360,"1,498.25"
DESNZ,UKAEA,4/5/2023,Facilities,Fusion,CPS Ltd,5145361,691.6
DESNZ,UKAEA,4/5/2023,Research,Other,HSE - Financial Operations,5145368,"9,432.00"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,BSS Oxford,5145369,"6,247.06"
DESNZ,UKAEA,4/5/2023,Professional Services,Property,Oxford Innovation Ltd.,5145371,"-2,616.00"
DESNZ,UKAEA,4/5/2023,ICT,Fusion,Altair Engineering Ltd.,5145372,"15,450.00"
DESNZ,UKAEA,4/5/2023,Professional Services,Property,Oxford Innovation Ltd.,5145373,"5,150.40"
DESNZ,UKAEA,4/5/2023,Facilities,Fusion,Landwood Group,5145375,"7,594.53"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Other,Beckhoff Automation Ltd,5145376,"1,689.93"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Icenta Controls Ltd,5145378,"2,586.00"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Other,Air Science Technologies,5145384,796
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,RS Components Ltd,5145385,987.47
DESNZ,UKAEA,4/5/2023,Engineering Goods,Other,RS Components Ltd,5145387,573.86
DESNZ,UKAEA,4/5/2023,Professional Services,Fusion,Imperial College London - GBP,5145389,"67,388.83"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,RS Components Ltd,5145394,"1,092.00"
DESNZ,UKAEA,4/5/2023,ICT,Fusion,Dell Corporation Ltd,5145398,"2,691.68"
DESNZ,UKAEA,4/5/2023,ICT,Fusion,Dell Corporation Ltd,5145398,"8,226.31"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,FTI Ltd,5145404,"5,357.05"
DESNZ,UKAEA,4/5/2023,Fleet,Property,Rabbits Vehicle Hire,5145406,770
DESNZ,UKAEA,4/5/2023,Engineering Goods,Other,Condec Industrial Maintenance,5145408,750
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,RS Components Ltd,5145413,"18,291.00"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,RS Components Ltd,5145413,"32,146.46"
DESNZ,UKAEA,4/5/2023,Travel,Support Services,UNITAXI LTD,5145415,888.9
DESNZ,UKAEA,4/5/2023,Personnel Related,Support Services,Linkedin Ireland Unlimited Company,5145419,"5,640.00"
DESNZ,UKAEA,4/5/2023,Professional Services,Support Services,Resolution at Work Ltd,5145420,"12,335.00"
DESNZ,UKAEA,4/5/2023,Professional Services,Support Services,Unit 4 Business Software,5145421,"21,796.33"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,A W Clarke,5145422,887.25
